"","GeneID","Name","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","MDPL_BW_1","MDPL_BW_2","MDPL_BW_3","MDPL_FW_1","MDPL_FW_2","MDPL_FW_3","MDPP_BW_1","MDPP_BW_2","MDPP_BW_3","MDPP_FW_1","MDPP_FW_2","MDPP_FW_3"
"11860","Funhe2EKm022067","Type-2 ice-structuring protein (100%T)",482.865901307367,5.5619612142675,0.871652145459736,6.38094134597001,1.76002714205268e-10,4.41168403426925e-06,154.531038175162,156.672349422852,156.245745974558,2854.17399662736,1045.16454478946,206.09567158077,243.405489964892,250.581204762674,536.487518765249,63.3169389958665,49.5089543003371,78.2073623292194
"10957","Funhe2EKm019817","Placenta-specific gene 8 protein (99%P)",1014.01117218981,-1.47044567557121,0.288363419485104,-5.09927950707758,3.40948774853248e-07,0.00246017498636383,1831.54245222864,1303.98617057124,1389.91145976799,424.321768023806,565.450165061428,421.744381099877,987.401263632016,1191.51192659778,1171.99491609003,891.394973580923,892.061638178119,1096.81295144584
"20322","Funhe2EKm036665","Transient receptor potential cation channel, subfamily M, member 2 (100%P)",1151.7079101133,1.39406585073289,0.274827332761882,5.0725153016012,3.92591556110083e-07,0.00246017498636383,677.163854077809,583.139908750925,554.354483518738,1575.31548429384,1312.93388845039,1348.83924565615,1224.02819926252,1629.9154027312,1270.32006634053,1299.09102563311,989.372943802927,1356.02041884152
"21227","Funhe2EKm038005","Deoxyribonuclease gamma (96%S)",951.782107923883,1.39600010784981,0.279053764750181,5.00262058495987,5.65561830725782e-07,0.00283527456979449,783.061763305035,767.417681770262,577.512256845703,1513.73534468434,1781.11395128515,1650.46675467582,621.209255080487,904.538110755926,794.255790216719,708.371442388565,593.963073106818,725.739870971765
"586","Funhe2EKm000838","Abhydrolase domain-containing protein (100%P)",15.6309829515284,-5.32568444333762,1.09399016915997,-4.86812824600332,1.12660213325488e-06,0.00470656817869447,21.2535375250759,60.1587855978106,28.6342794570457,6.15046681480676,9.5431181984213,2.93622267345414,3.35108989792019,0.7374050658981,4.27621059653464,26.3757824914728,12.3692121272734,11.7856849726275
"10730","Funhe2EKm019230","Tyrosine phosphatase, receptor type, J (100%S)",51.2587122593062,-6.87993175308505,1.42576580113669,-4.82542907650053,1.39702173733668e-06,0.00493115587223169,4.84177025073929,145.631381650292,166.924819889984,7.09859804424188,13.591824456087,10.7905616083008,1.45171510340224,14.8571785168258,4.2415004723737,13.9045385178027,146.041977622674,85.728680978951
"17268","Funhe2EKm029930","Zymogen granule protein 16 B (98%T)",1557.11491377035,-2.06632757763511,0.437268274835196,-4.72553737957298,2.29507610353263e-06,0.00639204195679432,3081.87364084979,2475.94774800999,2475.95628730357,293.698849023975,552.779144841548,336.101671360397,1616.21134553639,2527.68198918887,1720.35573859698,925.392058394715,1000.8076930153,1678.57279912272
"1514","Funhe2EKm002190","Insulin growth factor-binding protein 5 (100%P)",350.068573204723,3.14090152250981,0.677295878505222,4.6374141969411,3.52794987398755e-06,0.0088431591541372,117.931859350657,230.606344086284,96.0041322030158,409.535810375615,1037.2065345838,536.923365729857,207.730307974324,586.912690239717,388.594497036542,235.453277980185,109.189977755291,244.734081141389
"8628","Funhe2EKm014567","Uncharacterized protein",49.69080332148,6.41323047555651,1.3960365963878,4.59388420916082,4.35070852031969e-06,0.00991407816093941,11.2074483253833,2.27810901619761,8.17854180867181,294.075681290816,204.46991525353,5.80440892194902,31.6199998300256,8.82880789424422,14.7422392635259,7.61366536412036,4.71307592656624,2.75774696273041
"3206","Funhe2EKm004778","Lysosome-associated membrane glycoprotein (58%P)",4227.89929597984,-1.26802590951654,0.279153254214332,-4.54240060029161,5.56172230753668e-06,0.0116175109467262,5560.81459544003,4742.32264172074,4771.97525573568,2595.00334911933,3094.44025119757,3446.03706648851,3758.010666734,3900.48131006783,3127.97315401591,4129.42067263736,5377.6943981179,6230.61819048323
"3326","Funhe2EKm004992","Integrin, alpha 11 (99%P)",72.3119188159503,-1.68444884316526,0.372781572277598,-4.51859471720588,6.22514241124669e-06,0.0120030322831007,92.6684253262675,99.6812176166682,99.1238679263587,57.3202213215077,49.8054818700415,61.7698858179935,44.5254115275117,46.4763039116162,50.6041741997995,73.0122401899767,89.6831806150092,103.072615468653
"7945","Funhe2EKm013145","Low affinity immunoglobulin gamma Fc region receptor II-a (100%T)",53.9522446796522,4.29133040913497,0.956177370540007,4.48800666210225,7.18926812375816e-06,0.0128718710564373,52.7461911437622,53.3961009914691,8.24747192083538,56.1748264117938,60.3020284364319,144.032461444238,38.0044514487494,128.665154681717,77.8307331265638,3.42857543662435,16.5109567962367,8.08798431740476
"19132","Funhe2EKm034903","Transferrin receptor (p90, CD71) (100%T)",590.269263398361,-1.25759068492813,0.284877827461395,-4.41449127906786,1.01247797260426e-05,0.0169191819075323,698.00421478339,698.483504943974,696.754887706702,331.795890309548,376.208177267076,441.310577504255,562.53855271207,443.082323371877,654.626223880789,708.972503101884,833.065264326095,638.389040872677
"21033","Funhe2EKm037743","Containing a vitamin K-dependent carboxylation/gamma-carboxyglutamic GLA) domain protein ( Zgc:101601 (100%P)",71.6401419856076,-3.98806056762839,0.921688356465534,-4.32690783132132,1.51217199514289e-05,0.0210578351279176,162.571217553481,125.476121216373,347.040224460638,38.7507616115965,20.5944913638444,27.340420692674,17.6836451741181,2.82463133276715,23.3462198269236,36.5857196824578,10.6928167609279,46.7754341514906
